Time (in sec),CurrentPosition,NextPosition,Weight,CmdVelLinearX,CmdVelLinearZ,CmdVelAngularZ,Depth,DetectedTarget,Confidence,IsPathChosen
1.5,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
3.0,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
4.5,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
6.0,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
7.5,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
9.0,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
10.5,-,-,0,0.0,0.0,0.0,0.0,-,0.0,False
12.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
13.5,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
15.0,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
16.5,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
18.0,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
19.5,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
21.0,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
22.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
24.0,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
25.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
27.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
28.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
30.0,-,-,0,0.0,0.0,-2.0,0.0,-,0.0,False
31.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
33.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
34.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
36.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
37.5,-,-,0,0.0,0.0,-2.0,0.0,-,0.0,False
39.0,-,-,0,0.0,0.0,2.0,0.0,-,0.0,False
40.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
42.0,-,-,0,0.0,0.0,-2.0,0.0,-,0.0,False
43.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
45.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
46.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
48.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
49.5,-,-,0,0.0,0.0,-2.0,0.0,-,0.0,False
51.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
52.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
54.0,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
55.5,-,-,0,2.0,0.0,0.0,0.0,-,0.0,False
